municipio,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,sim10
Cervera de Buitrago,Robledillo de la Jara,Horcajo de la Sierra,Prádena del Rincón,Somosierra,Horcajuelo de la Sierra,La Serna del Monte,Piñuécar-Gandullas,Gascones,Madarcos,La Acebeda
Chapinería,Venturada,Guadalix de la Sierra,Miraflores de la Sierra,Navalafuente,Cercedilla,Molinos (Los),Belmonte de Tajo,Cabanillas de la Sierra,Colmenar del Arroyo,Navalagamella
Chinchón,Griñón,Campo Real,Perales de Tajuña,Cubas de la Sagra,El Escorial,Valdemorillo,Corpa,Torres de la Alameda,Quijorna,Morata de Tajuña
Ciempozuelos,Humanes de Madrid,Villalbilla,Morata de Tajuña,Mejorada del Campo,Velilla de San Antonio,Torres de la Alameda,Navalcarnero,Perales de Tajuña,Cubas de la Sagra,Paracuellos de Jarama
Cobeña,Collado Mediano,Algete,Daganzo de Arriba,Fuente el Saz de Jarama,Torrelodones,Valdeolmos-Alalpardo,Colmenarejo,Ajalvir,Hoyo de Manzanares,Villanueva del Pardillo
Collado Mediano,Cobeña,Daganzo de Arriba,Algete,Fuente el Saz de Jarama,Torrelodones,Colmenarejo,Valdeolmos-Alalpardo,Ajalvir,Hoyo de Manzanares,Villanueva del Pardillo
Colmenar de Oreja,Ambite,Carabaña,Santa María de la Alameda,San Lorenzo de El Escorial,Villamantilla,Zarzalejo,Olmeda de las Fuentes,La Cabrera,Orusco de Tajuña,Aldea del Fresno
Colmenar del Arroyo,Belmonte de Tajo,Guadalix de la Sierra,Navas del Rey,Aldea del Fresno,Navalafuente,Torrelaguna,Valdemanco,Chapinería,Torremocha de Jarama,Olmeda de las Fuentes
Colmenarejo,Ajalvir,Villanueva del Pardillo,Collado Mediano,Cobeña,Loeches,Galapagar,Algete,Brunete,Torrelodones,Daganzo de Arriba
Corpa,El Escorial,Villamanta,Valdemorillo,Pozuelo del Rey,Villar del Olmo,Valdetorres de Jarama,Meco,Santorcaz,Chinchón,Quijorna
Cubas de la Sagra,Campo Real,Humanes de Madrid,Griñón,Ciempozuelos,Moraleja de Enmedio,Perales de Tajuña,Morata de Tajuña,Torres de la Alameda,Chinchón,Arroyomolinos
Daganzo de Arriba,Algete,Valdeolmos-Alalpardo,Torrelodones,Cobeña,Fuente el Saz de Jarama,Collado Mediano,Hoyo de Manzanares,Titulcia,Colmenarejo,Ajalvir
El Escorial,Corpa,Valdemorillo,Quijorna,Villamanta,Chinchón,Valdetorres de Jarama,El Álamo,Villar del Olmo,Talamanca de Jarama,Casarrubuelos
Estremera,Villa del Prado,El Berrueco,Brea de Tajo,Santa María de la Alameda,Gargantilla del Lozoya y Pinilla de Buitrago,Cenicientos,Lozoyuela-Navas-Sieteiglesias,Fuentidueña de Tajo,Puentes Viejas,Canencia
Fresnedillas de la Oliva,Valdemaqueda,Garganta de los Montes,Robledo de Chavela,San Martín de Valdeiglesias,Pelayos de la Presa,Alameda del Valle,Pinilla del Valle,Torremocha de Jarama,Patones,Rascafría
Fresno de Torote,Manzanares el Real,El Vellón,Sevilla la Nueva,Villanueva de Perales,Valdepiélagos,Anchuelo,Villarejo de Salvanés,Valdeavero,El Molar,Pedrezuela
Fuente el Saz de Jarama,Daganzo de Arriba,Collado Mediano,Cobeña,Algete,Valdeolmos-Alalpardo,Torrelodones,Colmenarejo,Hoyo de Manzanares,Ajalvir,Villanueva del Pardillo
Fuentidueña de Tajo,Brea de Tajo,Colmenar de Oreja,Santa María de la Alameda,Estremera,San Lorenzo de El Escorial,Gargantilla del Lozoya y Pinilla de Buitrago,Ambite,Villa del Prado,Puentes Viejas,Carabaña
Galapagar,Villanueva del Pardillo,Brunete,Camarma de Esteruelas,Torrejón de la Calzada,Colmenarejo,Ajalvir,Loeches,Collado Mediano,Cobeña,San Martín de la Vega
Garganta de los Montes,Pinilla del Valle,San Martín de Valdeiglesias,Patones,Alameda del Valle,Pelayos de la Presa,Fresnedillas de la Oliva,Rascafría,Valdemaqueda,Torremocha de Jarama,Canencia
Gargantilla del Lozoya y Pinilla de Buitrago,Puentes Viejas,Cadalso de los Vidrios,Villamanrique de Tajo,Cenicientos,Brea de Tajo,La Hiruela,Estremera,Berzosa del Lozoya,Puebla de la Sierra,Navarredonda y San Mamés
Gascones,La Acebeda,Horcajuelo de la Sierra,Piñuécar-Gandullas,Somosierra,Prádena del Rincón,La Serna del Monte,Horcajo de la Sierra,Madarcos,Robledillo de la Jara,Cervera de Buitrago
Griñón,Campo Real,Cubas de la Sagra,Chinchón,Perales de Tajuña,Humanes de Madrid,Ciempozuelos,Morata de Tajuña,Torres de la Alameda,Moraleja de Enmedio,Batres
Guadalix de la Sierra,Navalafuente,Colmenar del Arroyo,Chapinería,Belmonte de Tajo,Torremocha de Jarama,Bustarviejo,Venturada,Miraflores de la Sierra,Navas del Rey,Valdemanco
Guadarrama,Soto del Real,Pedrezuela,Alpedrete,El Molar,Pezuela de las Torres,Manzanares el Real,Sevilla la Nueva,Fresno de Torote,Valdeolmos-Alalpardo,Becerril de la Sierra
La Hiruela,Berzosa del Lozoya,Puebla de la Sierra,El Atazar,Navarredonda y San Mamés,Robregordo,Cenicientos,Cadalso de los Vidrios,Valdaracete,Villamanrique de Tajo,Puentes Viejas
Horcajo de la Sierra,Prádena del Rincón,Somosierra,Robledillo de la Jara,Horcajuelo de la Sierra,Cervera de Buitrago,Piñuécar-Gandullas,La Serna del Monte,Gascones,La Acebeda,Madarcos
Horcajuelo de la Sierra,Gascones,La Acebeda,Piñuécar-Gandullas,Prádena del Rincón,Somosierra,La Serna del Monte,Horcajo de la Sierra,Madarcos,Robledillo de la Jara,Cervera de Buitrago
Hoyo de Manzanares,Titulcia,Torrelodones,Valdeolmos-Alalpardo,Algete,Daganzo de Arriba,Cobeña,Collado Mediano,Ajalvir,Colmenarejo,Fuente el Saz de Jarama
Humanes de Madrid,Ciempozuelos,Cubas de la Sagra,Moraleja de Enmedio,Arroyomolinos,Morata de Tajuña,Campo Real,Villalbilla,Mejorada del Campo,Perales de Tajuña,Velilla de San Antonio
Loeches,Brunete,Ajalvir,Colmenarejo,San Fernando de Henares,Villanueva del Pardillo,Paracuellos de Jarama,Navalcarnero,Torrejón de la Calzada,Camarma de Esteruelas,Torrejón de Velasco
Lozoya,Lozoyuela-Navas-Sieteiglesias,Montejo de la Sierra,Canencia,Rascafría,Patones,Pinilla del Valle,Alameda del Valle,Pelayos de la Presa,San Martín de Valdeiglesias,Garganta de los Montes
Lozoyuela-Navas-Sieteiglesias,Lozoya,Montejo de la Sierra,Canencia,Rascafría,Patones,Pinilla del Valle,Alameda del Valle,Pelayos de la Presa,San Martín de Valdeiglesias,Garganta de los Montes
Madarcos,La Serna del Monte,Piñuécar-Gandullas,La Acebeda,Horcajuelo de la Sierra,Gascones,Prádena del Rincón,Horcajo de la Sierra,Somosierra,Robledillo de la Jara,Cervera de Buitrago
Manzanares el Real,Fresno de Torote,El Molar,Pedrezuela,Sevilla la Nueva,El Vellón,Villanueva de Perales,Valdepiélagos,Anchuelo,Villarejo de Salvanés,Talamanca de Jarama
Meco,Santos de la Humosa (Los),Corpa,Valverde de Alcalá,Talamanca de Jarama,Santorcaz,Tielmes,Villar del Olmo,Valdelaguna,Valdetorres de Jarama,Pozuelo del Rey
Mejorada del Campo,Velilla de San Antonio,Paracuellos de Jarama,Villalbilla,San Fernando de Henares,Villaviciosa de Odón,Torrejón de Velasco,Navalcarnero,Ciempozuelos,San Martín de la Vega,Morata de Tajuña
Miraflores de la Sierra,Cabanillas de la Sierra,Chapinería,Bustarviejo,Venturada,Navalafuente,Guadalix de la Sierra,Molinos (Los),Torremocha de Jarama,Cercedilla,Navalagamella
El Molar,Pedrezuela,Manzanares el Real,Soto del Real,Valdeolmos-Alalpardo,Fresno de Torote,Alpedrete,Hoyo de Manzanares,Torrelodones,Algete,Daganzo de Arriba
Molinos (Los),Navalagamella,Cercedilla,Venturada,Cabanillas de la Sierra,Chapinería,Navacerrada,Redueña,Miraflores de la Sierra,Guadalix de la Sierra,Belmonte de Tajo
Montejo de la Sierra,Lozoya,Lozoyuela-Navas-Sieteiglesias,Patones,Pinilla del Valle,Rascafría,Valdemanco,Canencia,Alameda del Valle,Garganta de los Montes,San Martín de Valdeiglesias
Moraleja de Enmedio,Arroyomolinos,Humanes de Madrid,Cubas de la Sagra,Campo Real,Ciempozuelos,Griñón,Mejorada del Campo,Villalbilla,Morata de Tajuña,Velilla de San Antonio
Moralzarzal,San Agustín del Guadalix,Becerril de la Sierra,Fuente el Saz de Jarama,Collado Mediano,Galapagar,Villanueva del Pardillo,Cobeña,Daganzo de Arriba,Algete,Colmenarejo
Morata de Tajuña,Torres de la Alameda,Batres,Ciempozuelos,Villalbilla,Perales de Tajuña,Serranillos del Valle,Navalcarnero,Velilla de San Antonio,Villanueva de la Cañada,Paracuellos de Jarama
Navacerrada,Redueña,Molinos (Los),Cabanillas de la Sierra,Navalagamella,Cercedilla,Villaconejos,Venturada,Miraflores de la Sierra,Chapinería,Guadalix de la Sierra
Navalafuente,Guadalix de la Sierra,Torremocha de Jarama,Bustarviejo,Colmenar del Arroyo,Chapinería,Valdemanco,Miraflores de la Sierra,Fresnedillas de la Oliva,Garganta de los Montes,Belmonte de Tajo
Navalagamella,Cercedilla,Molinos (Los),Venturada,Redueña,Cabanillas de la Sierra,Chapinería,Navacerrada,Miraflores de la Sierra,Belmonte de Tajo,Guadalix de la Sierra
Navalcarnero,Paracuellos de Jarama,Velilla de San Antonio,San Fernando de Henares,Villalbilla,Mejorada del Campo,Serranillos del Valle,Morata de Tajuña,Torrejón de Velasco,Torres de la Alameda,Batres
Navarredonda y San Mamés,Puebla de la Sierra,Robregordo,Berzosa del Lozoya,El Atazar,La Hiruela,Cenicientos,Valdaracete,Cadalso de los Vidrios,Villamanrique de Tajo,Puentes Viejas
Navas del Rey,Aldea del Fresno,Torrelaguna,Colmenar del Arroyo,Olmeda de las Fuentes,Orusco de Tajuña,Belmonte de Tajo,Valdemanco,La Cabrera,Guadalix de la Sierra,Navalafuente
Nuevo Baztán,Valdelaguna,Santorcaz,Pozuelo del Rey,Santos de la Humosa (Los),Meco,Villamanta,Corpa,El Escorial,Valverde de Alcalá,Villar del Olmo
Olmeda de las Fuentes,Aldea del Fresno,Orusco de Tajuña,Navas del Rey,Torrelaguna,La Cabrera,Ambite,Carabaña,Colmenar del Arroyo,Valdemanco,Belmonte de Tajo
Orusco de Tajuña,Torrelaguna,Olmeda de las Fuentes,Aldea del Fresno,Navas del Rey,Carabaña,Ambite,Belmonte de Tajo,Colmenar del Arroyo,La Cabrera,Zarzalejo
Paracuellos de Jarama,San Fernando de Henares,Velilla de San Antonio,Navalcarnero,Mejorada del Campo,Villalbilla,Torrejón de Velasco,Villaviciosa de Odón,Loeches,Brunete,San Martín de la Vega
Patones,Pinilla del Valle,Rascafría,Alameda del Valle,San Martín de Valdeiglesias,Pelayos de la Presa,Garganta de los Montes,Canencia,Montejo de la Sierra,Lozoya,Lozoyuela-Navas-Sieteiglesias
Pedrezuela,El Molar,Soto del Real,Manzanares el Real,Alpedrete,Fresno de Torote,Guadarrama,Valdeolmos-Alalpardo,Sevilla la Nueva,Torrelodones,Hoyo de Manzanares
Pelayos de la Presa,Alameda del Valle,San Martín de Valdeiglesias,Pinilla del Valle,Rascafría,Patones,Garganta de los Montes,Canencia,Valdemaqueda,Robledo de Chavela,Fresnedillas de la Oliva
Perales de Tajuña,Torres de la Alameda,Morata de Tajuña,Batres,Serranillos del Valle,Ciempozuelos,Cubas de la Sagra,Villanueva de la Cañada,Griñón,Humanes de Madrid,Campo Real
Pezuela de las Torres,Sevilla la Nueva,Valdeavero,Anchuelo,El Vellón,Fresno de Torote,Villarejo de Salvanés,Manzanares el Real,Valdepiélagos,Villanueva de Perales,Pedrezuela
Pinilla del Valle,Patones,San Martín de Valdeiglesias,Alameda del Valle,Garganta de los Montes,Rascafría,Pelayos de la Presa,Canencia,Montejo de la Sierra,Valdemaqueda,Fresnedillas de la Oliva
Piñuécar-Gandullas,La Serna del Monte,Horcajuelo de la Sierra,Madarcos,La Acebeda,Gascones,Prádena del Rincón,Horcajo de la Sierra,Somosierra,Robledillo de la Jara,Cervera de Buitrago
Pozuelo del Rey,Santorcaz,Villamanta,Valdelaguna,Corpa,Nuevo Baztán,El Escorial,Meco,Chinchón,Valdemorillo,Santos de la Humosa (Los)
Prádena del Rincón,Horcajo de la Sierra,Somosierra,Horcajuelo de la Sierra,Piñuécar-Gandullas,Gascones,La Serna del Monte,Robledillo de la Jara,La Acebeda,Cervera de Buitrago,Madarcos
Puebla de la Sierra,Berzosa del Lozoya,Robregordo,El Atazar,Navarredonda y San Mamés,La Hiruela,Valdaracete,Cenicientos,Cadalso de los Vidrios,Villamanrique de Tajo,Puentes Viejas
Puentes Viejas,Gargantilla del Lozoya y Pinilla de Buitrago,Cadalso de los Vidrios,Villamanrique de Tajo,Cenicientos,Brea de Tajo,La Hiruela,Estremera,Berzosa del Lozoya,Puebla de la Sierra,Navarredonda y San Mamés
Quijorna,El Álamo,Casarrubuelos,Valdemorillo,Valdetorres de Jarama,Villar del Olmo,El Escorial,Talamanca de Jarama,Villanueva de la Cañada,Batres,Perales de Tajuña
Rascafría,Patones,Alameda del Valle,Canencia,Pinilla del Valle,Pelayos de la Presa,San Martín de Valdeiglesias,Garganta de los Montes,Lozoya,Montejo de la Sierra,Lozoyuela-Navas-Sieteiglesias
Redueña,Navacerrada,Navalagamella,Molinos (Los),Cercedilla,Cabanillas de la Sierra,Venturada,Chapinería,Villaconejos,Miraflores de la Sierra,Belmonte de Tajo
Ribatejada,Valdilecha,Valverde de Alcalá,Tielmes,Villarejo de Salvanés,Valdeavero,Anchuelo,Valdepiélagos,El Vellón,Villanueva de Perales,Sevilla la Nueva
Robledillo de la Jara,Cervera de Buitrago,Horcajo de la Sierra,Prádena del Rincón,Somosierra,Horcajuelo de la Sierra,La Serna del Monte,Piñuécar-Gandullas,Gascones,La Acebeda,Madarcos
Robledo de Chavela,Valdemaqueda,Pelayos de la Presa,Fresnedillas de la Oliva,San Martín de Valdeiglesias,Alameda del Valle,Garganta de los Montes,Pinilla del Valle,Rascafría,Patones,Canencia
Robregordo,Puebla de la Sierra,El Atazar,Berzosa del Lozoya,Navarredonda y San Mamés,La Hiruela,Valdaracete,Cenicientos,Cadalso de los Vidrios,Villamanrique de Tajo,Puentes Viejas
Rozas de Puerto Real,Buitrago del Lozoya,Villavieja del Lozoya,El Berrueco,Braojos,El Boalo,Cervera de Buitrago,Villa del Prado,Robledo de Chavela,Robledillo de la Jara,Valdemaqueda
San Agustín del Guadalix,Moralzarzal,Becerril de la Sierra,Fuente el Saz de Jarama,Galapagar,Villanueva del Pardillo,Collado Mediano,Cobeña,Daganzo de Arriba,Colmenarejo,Algete
San Fernando de Henares,Paracuellos de Jarama,Velilla de San Antonio,Navalcarnero,Torrejón de Velasco,Mejorada del Campo,Villalbilla,Villaviciosa de Odón,San Martín de la Vega,Loeches,Brunete
San Lorenzo de El Escorial,Villamantilla,Zarzalejo,Carabaña,Colmenar de Oreja,Ambite,Orusco de Tajuña,Olmeda de las Fuentes,Santa María de la Alameda,Torrelaguna,Aldea del Fresno
San Martín de la Vega,Torrejón de Velasco,Torrejón de la Calzada,Villaviciosa de Odón,Camarma de Esteruelas,San Fernando de Henares,Brunete,Paracuellos de Jarama,Mejorada del Campo,Velilla de San Antonio,Navalcarnero
San Martín de Valdeiglesias,Pelayos de la Presa,Alameda del Valle,Pinilla del Valle,Patones,Garganta de los Montes,Rascafría,Valdemaqueda,Canencia,Fresnedillas de la Oliva,Robledo de Chavela
Santa María de la Alameda,Colmenar de Oreja,La Cabrera,Ambite,Lozoyuela-Navas-Sieteiglesias,Lozoya,Montejo de la Sierra,Olmeda de las Fuentes,Carabaña,Valdemanco,Canencia
Santorcaz,Pozuelo del Rey,Valdelaguna,Villamanta,Nuevo Baztán,Corpa,Meco,El Escorial,Santos de la Humosa (Los),Valdemorillo,Chinchón
Santos de la Humosa (Los),Meco,Valverde de Alcalá,Nuevo Baztán,Valdelaguna,Valdilecha,Ribatejada,Tielmes,Santorcaz,Pozuelo del Rey,Villarejo de Salvanés
La Serna del Monte,Piñuécar-Gandullas,Madarcos,Horcajuelo de la Sierra,La Acebeda,Prádena del Rincón,Gascones,Horcajo de la Sierra,Somosierra,Robledillo de la Jara,Cervera de Buitrago
Serranillos del Valle,Batres,Villanueva de la Cañada,Torres de la Alameda,Morata de Tajuña,Navalcarnero,Villalbilla,Perales de Tajuña,Velilla de San Antonio,Paracuellos de Jarama,San Fernando de Henares
Sevilla la Nueva,Valdeavero,El Vellón,Fresno de Torote,Anchuelo,Pezuela de las Torres,Villarejo de Salvanés,Manzanares el Real,Valdepiélagos,Villanueva de Perales,Tielmes
Somosierra,Prádena del Rincón,Horcajo de la Sierra,Horcajuelo de la Sierra,Gascones,Robledillo de la Jara,La Acebeda,Piñuécar-Gandullas,La Serna del Monte,Cervera de Buitrago,Madarcos
Soto del Real,Guadarrama,Pedrezuela,Alpedrete,El Molar,Manzanares el Real,Pezuela de las Torres,Sevilla la Nueva,Fresno de Torote,Valdeolmos-Alalpardo,Daganzo de Arriba
Talamanca de Jarama,Villar del Olmo,Valdetorres de Jarama,Villanueva de Perales,Valdemorillo,Valdepiélagos,El Álamo,Quijorna,El Vellón,Fresno de Torote,El Escorial
Tielmes,Villarejo de Salvanés,Valverde de Alcalá,Anchuelo,Valdepiélagos,Ribatejada,Villanueva de Perales,El Vellón,Valdilecha,Valdeavero,Sevilla la Nueva
Titulcia,Hoyo de Manzanares,Torrelodones,Algete,Valdeolmos-Alalpardo,Ajalvir,Cobeña,Daganzo de Arriba,Collado Mediano,Colmenarejo,Loeches
Torrejón de la Calzada,Camarma de Esteruelas,Brunete,San Martín de la Vega,Torrejón de Velasco,Galapagar,Villaviciosa de Odón,San Fernando de Henares,Loeches,Paracuellos de Jarama,Villanueva del Pardillo
Torrejón de Velasco,San Fernando de Henares,Villaviciosa de Odón,San Martín de la Vega,Paracuellos de Jarama,Mejorada del Campo,Velilla de San Antonio,Torrejón de la Calzada,Camarma de Esteruelas,Brunete,Navalcarnero
Torrelaguna,Aldea del Fresno,Navas del Rey,Orusco de Tajuña,Olmeda de las Fuentes,Belmonte de Tajo,Colmenar del Arroyo,Guadalix de la Sierra,La Cabrera,Valdemanco,Ambite
Torrelodones,Algete,Valdeolmos-Alalpardo,Daganzo de Arriba,Hoyo de Manzanares,Cobeña,Collado Mediano,Titulcia,Fuente el Saz de Jarama,Ajalvir,Colmenarejo
Torremocha de Jarama,Garganta de los Montes,Navalafuente,Fresnedillas de la Oliva,Bustarviejo,Valdemanco,Pinilla del Valle,San Martín de Valdeiglesias,Patones,Alameda del Valle,Pelayos de la Presa
Torres de la Alameda,Batres,Morata de Tajuña,Serranillos del Valle,Perales de Tajuña,Villanueva de la Cañada,Villalbilla,Navalcarnero,Ciempozuelos,Velilla de San Antonio,Paracuellos de Jarama
Valdaracete,El Atazar,Berzosa del Lozoya,Robregordo,Puebla de la Sierra,La Hiruela,Navarredonda y San Mamés,Villamanrique de Tajo,Cadalso de los Vidrios,Cenicientos,Puentes Viejas
Valdeavero,Anchuelo,Sevilla la Nueva,Villarejo de Salvanés,Pezuela de las Torres,El Vellón,Tielmes,Valdepiélagos,Villanueva de Perales,Fresno de Torote,Ribatejada
Valdelaguna,Santorcaz,Nuevo Baztán,Pozuelo del Rey,Villamanta,Meco,Corpa,Santos de la Humosa (Los),El Escorial,Valdemorillo,Chinchón
Valdemanco,Montejo de la Sierra,Torremocha de Jarama,La Cabrera,Garganta de los Montes,Pinilla del Valle,Patones,Navalafuente,Navas del Rey,Lozoya,Colmenar del Arroyo
Valdemaqueda,Robledo de Chavela,Fresnedillas de la Oliva,Pelayos de la Presa,San Martín de Valdeiglesias,Alameda del Valle,Garganta de los Montes,Pinilla del Valle,Rascafría,Patones,Canencia
Valdemorillo,Quijorna,El Álamo,Valdetorres de Jarama,El Escorial,Villar del Olmo,Casarrubuelos,Talamanca de Jarama,Corpa,Chinchón,Villanueva de la Cañada
Valdeolmos-Alalpardo,Torrelodones,Algete,Daganzo de Arriba,Hoyo de Manzanares,Cobeña,Collado Mediano,Fuente el Saz de Jarama,Titulcia,Ajalvir,Colmenarejo
Valdepiélagos,Villanueva de Perales,El Vellón,Villarejo de Salvanés,Anchuelo,Fresno de Torote,Tielmes,Talamanca de Jarama,Sevilla la Nueva,Valdeavero,Villar del Olmo
Valdetorres de Jarama,Villar del Olmo,Talamanca de Jarama,Valdemorillo,El Álamo,Quijorna,Villanueva de Perales,El Escorial,Casarrubuelos,Valdepiélagos,Corpa
Valdilecha,Ribatejada,Valverde de Alcalá,Tielmes,Villarejo de Salvanés,Valdeavero,Anchuelo,Valdepiélagos,El Vellón,Villanueva de Perales,Santos de la Humosa (Los)
